Date,Total Lifting Weeks,Week,Cycle Week,Exercise,Focus,Type,Pause,Sets,Reps,Intensity,Weight,RPE,All_Reps,uploaded_video,video_name,vid_url
24-Sep,8,1,1,Competition Squat,Squat,Competition,n,4,7,,210,6.5,y,n,,
24-Sep,8,1,1,Competition Pause Bench,Bench,Competition,n,4,7,,175,8.5,y,n,,
24-Sep,8,1,1,Overhead Press,Accessory,,,3,8,,95,10,y,n,,
24-Sep,8,1,1,Bent Over Row,Accessory,,,3,12,,135,8.5,y,n,,
24-Sep,8,1,1,GHR Back Extensions,Accessory,,,4,12,,13,6.5,y,n,,
25-Sep,8,1,1,Competition Deadlift,Deadlift,Competition,n,4,7,,140,7.5,y,n,,
25-Sep,8,1,1,3ct Pause Bench,Bench,Pause,y,3,5,,155,9,y,n,,
25-Sep,8,1,1,High Bar Pause Squat,Squat,High Bar,n,3,5,,185,7.5,y,n,,
25-Sep,8,1,1,Wide Grip Seated Row,Accessory,,,5,8,,120,8,y,n,,
27-Sep,8,1,1,Pin Squat,Squat,Pin,n,3,6,,205,6,y,n,,
27-Sep,8,1,1,2Board Bench,Bench,2 Board,n,3,6,,195,8.5,y,n,,
27-Sep,8,1,1,1-Arm DB Row,Accessory,,,5,10,,50,8,y,n,,
27-Sep,8,1,1,Birddog,Accessory,,,3,6,,0,6,y,n,,
28-Sep,8,1,1,2ct Pause Deadlift,Deadlift,Pause,y,3,6,,286,8,y,n,,
28-Sep,8,1,1,Touch and Go Bench,Bench,Touch and Go,n,4,10,,165,8,y,n,,
28-Sep,8,1,1,Straight Leg Deadlift,Deadlift,Straight Leg,n,3,8,,80,6.5,y,n,,
28-Sep,8,1,1,Pulldown,Accessory,,,4,10,,120,8,y,n,,
28-Sep,8,1,1,Pushdown,Accessory,,,4,10,,110,6,y,n,,
1-Oct,9,2,2,Competition Squat,Squat,Competition,n,4,6,,235,8,y,n,,
1-Oct,9,2,2,Competition Pause Bench,Bench,Competition,n,4,6,,185,7.5,y,n,,
1-Oct,9,2,2,Overhead Press,Accessory,,,3,8,,95,10,y,n,,
1-Oct,9,2,2,Bent Over Row,Accessory,,,3,12,,135,8.5,y,n,,
1-Oct,9,2,2,GHR Back Extensions,Accessory,,,4,12,,13,6.5,y,n,,
2-Oct,9,2,2,Competition Deadlift,Deadlift,Competition,n,4,6,,150,8.5,y,n,,
2-Oct,9,2,2,3ct Pause Bench,Bench,Pause,y,3,6,,160,10,y,n,,
2-Oct,9,2,2,High Bar Pause Squat,Squat,High Bar,n,3,6,,185,7.5,y,n,,
2-Oct,9,2,2,Pulldown,Accessory,,,5,8,,120,8.5,y,n,,
