RPE,Reps,Proportion
10,1,1
9.5,1,0.978
9,1,0.955
8.5,1,0.939
8,1,0.922
7.5,1,0.970
7,1,0.892
6.5,1,0.878
10,2,0.955
9.5,2,0.939
9,2,0.922
8.5,2,0.907
8,2,0.892
7.5,2,0.878
7,2,0.863
6.5,3,0.850
10,3,0.922
9.5,3,0.970
9,3,0.892
8.5,3,0.878
8,3,0.863
7.5,3,0.850
7,3,0.837
6.5,4,0.824
10,4,0.892
9.5,4,0.878
9,4,0.863
8.5,4,0.850
8,4,0.837
7.5,4,0.824
7,4,0.811
6.5,5,0.799
10,5,0.863
9.5,5,0.850
9,5,0.837
8.5,5,0.824
8,5,0.811
7.5,5,0.799
7,5,0.786
6.5,6,0.774
10,6,0.837
9.5,6,0.824
9,6,0.811
8.5,6,0.799
8,6,0.786
7.5,6,0.774
7,6,0.762
6.5,7,0.751
10,7,0.811
9.5,7,0.799
9,7,0.786
8.5,7,0.774
8,7,0.762
7.5,7,0.751
7,7,0.739
6.5,8,0.723
10,8,0.786
9.5,8,0.774
9,8,0.762
8.5,8,0.751
8,8,0.739
7.5,8,0.723
7,8,0.707
6.5,9,0.694
10,9,0.762
9.5,9,0.751
9,9,0.739
8.5,9,0.723
8,9,0.707
7.5,9,0.694
7,9,0.680
6.5,10,0.667
10,10,0.739
9.5,10,0.723
9,10,0.707
8.5,10,0.694
8,10,0.680
7.5,10,0.667
7,10,0.653
6.5,11,0.640
10,11,0.707
9.5,11,0.694
9,11,0.680
8.5,11,0.667
8,11,0.653
7.5,11,0.640
7,11,0.626
6.5,12,0.613
10,12,0.680
9.5,12,0.667
9,12,0.653
8.5,12,0.640
8,12,0.626
7.5,12,0.613
7,12,0.599
